   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.0000000e+02   8.6560090e-01   3.0250000e-01   1.5968947e+00   8.5165947e-03
   1.0009000e+02   8.7633436e-01   3.0286312e-01   1.5968947e+00   8.5191506e-03
   1.0018000e+02   8.7805748e-01   3.0322645e-01   1.5968947e+00   8.5217081e-03
   1.0027000e+02   8.7524319e-01   3.0359000e-01   1.5968947e+00   8.5242670e-03
   1.0036000e+02   8.7897776e-01   3.0395377e-01   1.5968947e+00   8.5268275e-03
   1.0045000e+02   8.8792771e-01   3.0431776e-01   1.5968947e+00   8.5293895e-03
   1.0054000e+02   8.8566466e-01   3.0468197e-01   1.5968947e+00   8.5319530e-03
   1.0063000e+02   8.8720910e-01   3.0504639e-01   1.5968947e+00   8.5345180e-03
   1.0072000e+02   8.9024210e-01   3.0541103e-01   1.5968948e+00   8.5370845e-03
   1.0081000e+02   8.8507316e-01   3.0577589e-01   1.5968948e+00   8.5396525e-03
   1.0090000e+02   8.7718982e-01   3.0614097e-01   1.5968948e+00   8.5422220e-03
   1.0099000e+02   8.8202283e-01   3.0650627e-01   1.5968948e+00   8.5447930e-03
   1.0108000e+02   8.8007752e-01   3.0687178e-01   1.5968948e+00   8.5473655e-03
   1.0117000e+02   8.8127300e-01   3.0723751e-01   1.5968948e+00   8.5499395e-03
   1.0126000e+02   8.8294442e-01   3.0760346e-01   1.5968948e+00   8.5525149e-03
   1.0135000e+02   8.8304197e-01   3.0796962e-01   1.5968949e+00   8.5550919e-03
   1.0144000e+02   8.8145383e-01   3.0833601e-01   1.5968949e+00   8.5576703e-03
   1.0153000e+02   8.8412794e-01   3.0870261e-01   1.5968949e+00   8.5602501e-03
   1.0162000e+02   8.8596052e-01   3.0906943e-01   1.5968949e+00   8.5628315e-03
   1.0171000e+02   8.8834418e-01   3.0943647e-01   1.5968949e+00   8.5654143e-03
   1.0180000e+02   8.9752448e-01   3.0980372e-01   1.5968949e+00   8.5679985e-03
   1.0189000e+02   8.9951918e-01   3.1017120e-01   1.5968949e+00   8.5705842e-03
   1.0198000e+02   8.9706870e-01   3.1053889e-01   1.5968950e+00   8.5731714e-03
   1.0207000e+02   8.9945836e-01   3.1090680e-01   1.5968950e+00   8.5757600e-03
   1.0216000e+02   9.0464438e-01   3.1127492e-01   1.5968950e+00   8.5783500e-03
   1.0225000e+02   9.0208191e-01   3.1164327e-01   1.5968950e+00   8.5809415e-03
   1.0234000e+02   9.0242972e-01   3.1201183e-01   1.5968950e+00   8.5835344e-03
   1.0243000e+02   9.0634806e-01   3.1238061e-01   1.5968950e+00   8.5861288e-03
