   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.0000000e+02   8.7660415e-01   1.6000000e-01   1.6124577e+00   4.4611674e-03
   1.0009000e+02   8.7733442e-01   1.6030816e-01   1.6124577e+00   4.4657402e-03
   1.0018000e+02   8.9701541e-01   1.6061661e-01   1.6124577e+00   4.4703131e-03
   1.0027000e+02   9.0627963e-01   1.6092535e-01   1.6124578e+00   4.4748861e-03
   1.0036000e+02   9.0275331e-01   1.6123440e-01   1.6124578e+00   4.4794590e-03
   1.0045000e+02   9.1181862e-01   1.6154374e-01   1.6124578e+00   4.4840321e-03
   1.0054000e+02   9.1627130e-01   1.6185338e-01   1.6124578e+00   4.4886051e-03
   1.0063000e+02   9.1054359e-01   1.6216331e-01   1.6124578e+00   4.4931782e-03
   1.0072000e+02   9.1526889e-01   1.6247354e-01   1.6124578e+00   4.4977513e-03
   1.0081000e+02   9.1976200e-01   1.6278407e-01   1.6124578e+00   4.5023244e-03
   1.0090000e+02   9.0828887e-01   1.6309489e-01   1.6124578e+00   4.5068976e-03
   1.0099000e+02   9.0748855e-01   1.6340601e-01   1.6124579e+00   4.5114708e-03
   1.0108000e+02   9.1402471e-01   1.6371743e-01   1.6124579e+00   4.5160441e-03
   1.0117000e+02   9.1833777e-01   1.6402914e-01   1.6124579e+00   4.5206173e-03
   1.0126000e+02   9.1825516e-01   1.6434115e-01   1.6124579e+00   4.5251907e-03
   1.0135000e+02   9.2925635e-01   1.6465345e-01   1.6124579e+00   4.5297640e-03
   1.0144000e+02   9.2751033e-01   1.6496606e-01   1.6124579e+00   4.5343374e-03
   1.0153000e+02   9.2271913e-01   1.6527896e-01   1.6124579e+00   4.5389108e-03
   1.0162000e+02   9.2564400e-01   1.6559215e-01   1.6124580e+00   4.5434842e-03
   1.0171000e+02   9.2604133e-01   1.6590564e-01   1.6124580e+00   4.5480577e-03
   1.0180000e+02   9.2384435e-01   1.6621943e-01   1.6124580e+00   4.5526312e-03
   1.0189000e+02   9.3010947e-01   1.6653351e-01   1.6124580e+00   4.5572048e-03
   1.0198000e+02   9.3213608e-01   1.6684789e-01   1.6124580e+00   4.5617784e-03
   1.0207000e+02   9.3001151e-01   1.6716257e-01   1.6124580e+00   4.5663520e-03
   1.0216000e+02   9.3534362e-01   1.6747755e-01   1.6124580e+00   4.5709256e-03
   1.0225000e+02   9.3828165e-01   1.6779282e-01   1.6124580e+00   4.5754993e-03
   1.0234000e+02   9.3532550e-01   1.6810838e-01   1.6124581e+00   4.5800730e-03
   1.0243000e+02   9.4070082e-01   1.6842425e-01   1.6124581e+00   4.5846467e-03
   1.0252000e+02   9.4671005e-01   1.6874041e-01   1.6124581e+00   4.5892205e-03
   1.0261000e+02   9.4002175e-01   1.6905686e-01   1.6124581e+00   4.5937943e-03
   1.0270000e+02   9.3893622e-01   1.6937361e-01   1.6124581e+00   4.5983682e-03
   1.0279000e+02   9.4457098e-01   1.6969066e-01   1.6124581e+00   4.6029420e-03
   1.0288000e+02   9.3828096e-01   1.7000801e-01   1.6124581e+00   4.6075159e-03
   1.0297000e+02   9.3097696e-01   1.7032565e-01   1.6124581e+00   4.6120899e-03
   1.0306000e+02   9.3809078e-01   1.7064359e-01   1.6124582e+00   4.6166638e-03
   1.0315000e+02   9.3702991e-01   1.7096182e-01   1.6124582e+00   4.6212378e-03
   1.0324000e+02   9.2808441e-01   1.7128035e-01   1.6124582e+00   4.6258119e-03
   1.0333000e+02   9.3312437e-01   1.7159918e-01   1.6124582e+00   4.6303859e-03
   1.0342000e+02   9.3188459e-01   1.7191831e-01   1.6124582e+00   4.6349600e-03
   1.0351000e+02   9.2488577e-01   1.7223773e-01   1.6124582e+00   4.6395341e-03
   1.0360000e+02   9.2980876e-01   1.7255744e-01   1.6124582e+00   4.6441083e-03
   1.0369000e+02   9.3384727e-01   1.7287746e-01   1.6124583e+00   4.6486825e-03
   1.0378000e+02   9.2756648e-01   1.7319777e-01   1.6124583e+00   4.6532567e-03
   1.0387000e+02   9.3253386e-01   1.7351837e-01   1.6124583e+00   4.6578310e-03
   1.0396000e+02   9.3293083e-01   1.7383928e-01   1.6124583e+00   4.6624052e-03
   1.0405000e+02   9.2352091e-01   1.7416048e-01   1.6124583e+00   4.6669795e-03
   1.0414000e+02   9.2604704e-01   1.7448197e-01   1.6124583e+00   4.6715539e-03
   1.0423000e+02   9.2858195e-01   1.7480377e-01   1.6124583e+00   4.6761283e-03
   1.0432000e+02   9.1674943e-01   1.7512585e-01   1.6124583e+00   4.6807027e-03
   1.0441000e+02   9.2190576e-01   1.7544824e-01   1.6124584e+00   4.6852771e-03
   1.0450000e+02   9.2723727e-01   1.7577092e-01   1.6124584e+00   4.6898516e-03
   1.0459000e+02   9.1110875e-01   1.7609390e-01   1.6124584e+00   4.6944261e-03
   1.0468000e+02   9.0559225e-01   1.7641717e-01   1.6124584e+00   4.6990006e-03
   1.0477000e+02   9.1047074e-01   1.7674075e-01   1.6124584e+00   4.7035751e-03
   1.0486000e+02   8.8604145e-01   1.7706461e-01   1.6124584e+00   4.7081497e-03
   1.0495000e+02   8.8380801e-01   1.7738878e-01   1.6124584e+00   4.7127243e-03
   1.0504000e+02   8.9377577e-01   1.7771324e-01   1.6124584e+00   4.7172990e-03
   1.0513000e+02   8.8770213e-01   1.7803799e-01   1.6124585e+00   4.7218737e-03
   1.0522000e+02   8.8908983e-01   1.7836305e-01   1.6124585e+00   4.7264484e-03
   1.0531000e+02   8.9901479e-01   1.7868840e-01   1.6124585e+00   4.7310231e-03
   1.0540000e+02   8.8201500e-01   1.7901404e-01   1.6124585e+00   4.7355979e-03
   1.0549000e+02   8.8314837e-01   1.7933999e-01   1.6124585e+00   4.7401727e-03
   1.0558000e+02   8.9360435e-01   1.7966623e-01   1.6124585e+00   4.7447475e-03
   1.0567000e+02   8.8774330e-01   1.7999276e-01   1.6124585e+00   4.7493223e-03
   1.0576000e+02   8.9715724e-01   1.8031959e-01   1.6124586e+00   4.7538972e-03
   1.0585000e+02   9.1087294e-01   1.8064672e-01   1.6124586e+00   4.7584721e-03
   1.0594000e+02   8.9104491e-01   1.8097415e-01   1.6124586e+00   4.7630471e-03
   1.0603000e+02   8.9400645e-01   1.8130187e-01   1.6124586e+00   4.7676221e-03
   1.0612000e+02   9.1057522e-01   1.8162989e-01   1.6124586e+00   4.7721971e-03
   1.0621000e+02   8.9969823e-01   1.8195820e-01   1.6124586e+00   4.7767721e-03
   1.0630000e+02   9.1732834e-01   1.8228681e-01   1.6124586e+00   4.7813471e-03
   1.0639000e+02   9.4480255e-01   1.8261572e-01   1.6124587e+00   4.7859222e-03
